online class +,online merch dept +,online subclass +,online upc +,internet sku name +,oms id +,online merch dept nbr +,online classification +,online disposition,online ship from type +,online ship lead days
027-002-WIRING DEVICES,27E-ELECTRICAL,027-002-002-DIMMERS,-535285,"Trimitron 600-Watt Electro-Mechanical Push Dimmer, White",100068979,27E,Shared,Browse Only,UNKNOWN,1
027-002-WIRING DEVICES,27E-ELECTRICAL,027-002-002-DIMMERS,-535285,"Trimitron 600-Watt Electro-Mechanical Push Dimmer, White",100068979,27E,Shared,Browse Only,UNKNOWN,1
027-002-WIRING DEVICES,27E-ELECTRICAL,027-002-002-DIMMERS,078477131954,"Trimitron 600-Watt Electro-Mechanical Push Dimmer, White",100068979,27E,Shared,Browse Only,UNKNOWN,1
027-002-WIRING DEVICES,27E-ELECTRICAL,027-002-002-DIMMERS,078477131954,"Trimitron 600-Watt Electro-Mechanical Push Dimmer, White",100068979,27E,Shared,Browse Only,UNKNOWN,1
027-002-WIRING DEVICES,27E-ELECTRICAL,027-002-002-DIMMERS,027557014649,Attache 300 Watt Single Pole Lamp Dimmer   White,100081345,27E,Shared,Browse Only,UNKNOWN,3
027-002-WIRING DEVICES,27E-ELECTRICAL,027-002-002-DIMMERS,-194409,Attache 300 Watt Single Pole Lamp Dimmer   White,100081345,27E,Shared,Browse Only,UNKNOWN,3
027-002-WIRING DEVICES,27E-ELECTRICAL,027-002-004-PLUGS/CONNECTORS,-144940,"Pass and Seymour MaxGrip M3 15 Amp 125 Volt NEMA 5 15P Straight Blade Plug, Orange",100184872,27E,Shared,Browse Only,UNKNOWN,1
027-002-WIRING DEVICES,27E-ELECTRICAL,027-002-004-PLUGS/CONNECTORS,-144940,"Pass and Seymour MaxGrip M3 15 Amp 125 Volt NEMA 5 15P Straight Blade Plug, Orange",100184872,27E,Shared,Browse Only,UNKNOWN,1
027-002-WIRING DEVICES,27E-ELECTRICAL,027-002-004-PLUGS/CONNECTORS,785007004298,"Pass and Seymour MaxGrip M3 15 Amp 125 Volt NEMA 5 15P Straight Blade Plug, Orange",100184872,27E,Shared,Browse Only,UNKNOWN,1
027-002-WIRING DEVICES,27E-ELECTRICAL,027-002-004-PLUGS/CONNECTORS,785007004298,"Pass and Seymour MaxGrip M3 15 Amp 125 Volt NEMA 5 15P Straight Blade Plug, Orange",100184872,27E,Shared,Browse Only,UNKNOWN,1
027-002-WIRING DEVICES,27E-ELECTRICAL,027-002-004-PLUGS/CONNECTORS,-222006,"3 Pole,4 Wire Ground,30A,125/250V,For Dryer,BK Surface Mount Outlet",100209931,27E,Shared,Browse Only,UNKNOWN,UNKNOWN
