"Network Destination (Destination Instance)","Product Page URL","Product ID","Product Name","UPC","Review First Moderated Date","Overall Rating","# Days To Respond","Review Submission Date","Responder Portal User Name","Reviewer Display Name","Review Title","Review Text","Response Text","Response Submission Date"
"homedepot","https://www.homedepot.com/p/Leviton-15-Amp-125-V-Commercial-Grade-Duplex-Outlet-Receptacle-White-10-Pack-CBR15-WMP-M22-CBR15-WMP/100684044","100684044","15 Amp 125 V Commercial Grade Duplex Outlet/Receptacle, White (10-Pack) CBR15-WMP","078477462720","2025-07-09","5","","2025-07-09","","HomeDepotCustomer","","High quality with easy side slide in wiring.","",""
"homedepot","https://www.homedepot.com/p/Leviton-15-Amp-125-V-Commercial-Grade-Duplex-Outlet-Receptacle-White-10-Pack-CBR15-WMP-M22-CBR15-WMP/100684044","100684044","15 Amp 125 V Commercial Grade Duplex Outlet/Receptacle, White (10-Pack) CBR15-WMP","078477462720","2025-06-11","5","","2025-06-11","","HomeDepotCustomer","","Have installed dozens of these outlets, the side clamp terminals are secure and fast to install. Whatever you plug in fits tight but not overly tight like some other brands that feel like they will rip out of the wall when you go to unplug. These are my go to outlet receptacles when i install new or replace old outlets. I would highly recommend these, made very well.","",""
"homedepot","https://www.homedepot.com/p/Leviton-15-Amp-125-V-Commercial-Grade-Duplex-Outlet-Receptacle-White-10-Pack-CBR15-WMP-M22-CBR15-WMP/100684044","100684044","15 Amp 125 V Commercial Grade Duplex Outlet/Receptacle, White (10-Pack) CBR15-WMP","078477462720","2025-07-08","1","","2025-07-08","","Mmmo","Poorly designed wallplate nut!","Duplex plus with back and side wiring options. Seems very robust but broke 3 when even gently tightening the wall plate screw. The nut just comes right out. Stay away. Go for the lever edge model instead.","",""
"homedepot","https://www.homedepot.com/p/Leviton-15-Amp-125-V-Commercial-Grade-Duplex-Outlet-Receptacle-White-10-Pack-CBR15-WMP-M22-CBR15-WMP/100684044","100684044","15 Amp 125 V Commercial Grade Duplex Outlet/Receptacle, White (10-Pack) CBR15-WMP","078477462720","2025-03-13","5","","2025-03-13","","JOHN","","These outlets are great !  A little more than the cheapest version, but worth it.  The ability to side wire multiple runs without making wire nut connections and pigtails is great for tight boxes in old houses !","",""
"homedepot","https://www.homedepot.com/p/Leviton-15-Amp-125-V-Commercial-Grade-Duplex-Outlet-Receptacle-White-10-Pack-CBR15-WMP-M22-CBR15-WMP/100684044","100684044","15 Amp 125 V Commercial Grade Duplex Outlet/Receptacle, White (10-Pack) CBR15-WMP","078477462720","2025-02-19","5","","2025-02-19","","ROBERT","","These outlets are commercial grade and are far superior than the low price low grade outlets. I am replacing old brown color outlets and making them all white for a clean modern look.","",""
"homedepot","https://www.homedepot.com/p/Leviton-15-Amp-125-V-Commercial-Grade-Duplex-Outlet-Receptacle-White-10-Pack-CBR15-WMP-M22-CBR15-WMP/100684044","100684044","15 Amp 125 V Commercial Grade Duplex Outlet/Receptacle, White (10-Pack) CBR15-WMP","078477462720","2025-02-27","5","","2025-02-27","","Dennis","","Excellent product 
Love the back and side wire placement.","",""
"homedepot","https://www.homedepot.com/p/Leviton-15-Amp-125-V-Commercial-Grade-Duplex-Outlet-Receptacle-White-10-Pack-CBR15-WMP-M22-CBR15-WMP/100684044","100684044","15 Amp 125 V Commercial Grade Duplex Outlet/Receptacle, White (10-Pack) CBR15-WMP","078477462720","2025-05-14","5","","2025-05-14","","HomeDepotCustomer","","Installed with no problems.  Nice to have outlets that are capable of supporting plug in devices!","",""
"homedepot","https://www.homedepot.com/p/Leviton-15-Amp-125-V-Commercial-Grade-Duplex-Outlet-Receptacle-White-10-Pack-CBR15-WMP-M22-CBR15-WMP/100684044","100684044","15 Amp 125 V Commercial Grade Duplex Outlet/Receptacle, White (10-Pack) CBR15-WMP","078477462720","2025-07-23","5","","2025-07-23","","HomeDepotCustomer","","Simply put, they looked and worked as expected. Easy to wire.","",""
"homedepot","https://www.homedepot.com/p/Leviton-15-Amp-125-V-Commercial-Grade-Duplex-Outlet-Receptacle-White-10-Pack-CBR15-WMP-M22-CBR15-WMP/100684044","100684044","15 Amp 125 V Commercial Grade Duplex Outlet/Receptacle, White (10-Pack) CBR15-WMP","078477462720","2025-04-03","5","","2025-04-03","","HomeDepotCustomer","","Items used to replace older ones, to fit decor.","",""
"homedepot","https://www.homedepot.com/p/Leviton-1-Gang-Light-Almond-Decora-Rocker-Polycarbonate-Standard-Screwless-Wall-Plate-1-Pack-80301-T-R78-80301-00T/202077698","202077698","1-Gang Light Almond Decora/Rocker Polycarbonate Standard Screwless Wall Plate (1-Pack) 80301-T","078477458389","2025-06-11","3","","2025-06-11","","DilMoe","","Purchased as a replacement.  Fairly expensive for the uniqueness of the product.  Works as required.","",""
