"Network Destination (Destination Instance)","Product ID","Product Page URL","UPC","Product Name","Asker Display Name","Question Submission Date","Question Title","Question Text","Answer Submission Date","Answer Text","# Days To Answer","Marked ""Can't Answer""","Answered by Brand","Question ID"
"homedepot","301447066","https://www.homedepot.com/p/Leviton-15-Amp-Industrial-Grade-Heavy-Duty-Double-Pole-Double-Throw-Center-Off-Maintained-Contact-Toggle-Switch-Brown-1282-1282/301447066","078477168141","15 Amp Industrial Grade Heavy Duty Double-Pole Double-Throw Center-Off Maintained Contact Toggle Switch, Brown 1282","Mike4DIY","2025-10-31 17:54:41","I want to do EXACTLY as described by user ""bulldog1024"", but the picture referenced is NOT included with the answer. Is there a way to get access to it? I've learned a DPDT switch CAN do this, provided the load does not exceed switch current rating.","","","","","No","","10824093"
"homedepot","327042541","https://www.homedepot.com/p/Leviton-Decora-Smart-Wi-Fi-Outdoor-Plug-Matter-Enabled-Weather-Resistant-works-w-My-Leviton-Anywhere-Switch-Companion-D215O-R05-1RE/327042541","078477698334","Decora Smart Wi-Fi Outdoor Plug, Matter Enabled, Weather Resistant, works w/My , Anywhere Switch Companion","BobAmerica","2025-08-17 18:08:37","Does this have a cell phone app designed or engineered in China? All of the other wireless plugs like Tapo are Chinese companies with Apps that can be used to gain backdoor access into your home network and cell phone.","","","","","No","","10675290"
"homedepot","301378726","https://www.homedepot.com/p/Leviton-Toggle-Slide-Dimmer-Switch-for-Dimmable-LED-Halogen-and-Incandescent-Bulbs-White-TSL06-1KW-R12-TSL06-1KW/301378726","078477840047","Toggle Slide Dimmer Switch for Dimmable LED, Halogen and Incandescent Bulbs - White TSL06-1KW","gola","2025-08-29 12:15:42","double dimming switch? I can't seem to find this same thing with a double switch format? Does it exist? I can see the double switch plate but no switches with dimmers like this one. Thank you","","","","","No","","10701705"
"homedepot","327840632","https://www.homedepot.com/p/2nd-Gen-2-Pole-50-Amp-Smart-Circuit-Breaker-w-Remote-Control-Standard-120-240-Volt-and-120-208-Volt-Thermal-Magnetic-R15-LB250-STR/327840632","078477005484","2nd Gen 2-Pole 50 Amp Smart Circuit Breaker w/Remote Control, Standard 120/240-Volt and 120/208-Volt, Thermal Magnetic","Caimon2","2025-11-19 14:05:19","How do I find out if this is compatible with Siemens electrical catalog part # W0816B1200CT series A. Any help is appreciated.","","","","","No","","10866599"
"homedepot","301370402","https://www.homedepot.com/p/Leviton-Trimatron-Rotary-Dimmer-Switch-for-Dimmable-LED-Halogen-and-Incandescent-Bulbs-White-RNL06-TW-R00-RNL06-0TW/301370402","078477855614","Trimatron Rotary Dimmer Switch for Dimmable LED, Halogen and Incandescent Bulbs - White RNL06-TW","Mike","2025-08-20 12:53:34","When this switch is clicked to 'off' is the circuit fully disconnected, or is it just at the lowest dimmer setting which could still leaking a small bit of current?","","","","","No","","10680978"
"homedepot","207106566","https://www.homedepot.com/p/Leviton-600-Watt-250-Volt-White-Outlet-Box-Lampholder-49875-R50-49875-000/207106566","078477323007","600-Watt 250-Volt White Outlet Box Lampholder 49875","screws","2025-09-15 11:36:44","What size screws comes with this","","","","","No","","10734083"
"homedepot","322925920","https://www.homedepot.com/p/Leviton-Decora-In-Wall-Combination-Humidity-Sensor-Fan-Control-w-Light-Switch-1-4-HP-Residential-Grade-Single-Pole-White-002-DHD05-1LW/322925920","078477472583","Decora In-Wall Combination Humidity Sensor & Fan Control w/Light Switch, 1/4 HP, Residential Grade, Single Pole, White","John","2025-11-30 15:22:36","Does the built in humidity sensor or built in timer also turn off the light, or does it only turn off the fan?","","2025-12-09 01:52:46","It control just the fan. Unless your fan with light is wired together then it would turn off both","9","No","","10891150"
"homedepot","322306961","https://www.homedepot.com/p/Leviton-Decora-Occupancy-Motion-Sensor-Light-Switch-Auto-On-15A-Residential-Grade-Single-Pole-Multi-Way-or-Multi-Sensor-DOS15-1LZ/322306961","078477471272","Decora Occupancy Motion Sensor Light Switch, Auto-On, 15A, Residential Grade, Single Pole, Multi-Way or Multi-Sensor","James","2025-10-30 14:33:09","Do I need to replace my current bulbs with once that are compatible with the sensors or do they work with any bulb","","","","","No","","10821491"
"homedepot","322925920","https://www.homedepot.com/p/Leviton-Decora-In-Wall-Combination-Humidity-Sensor-Fan-Control-w-Light-Switch-1-4-HP-Residential-Grade-Single-Pole-White-002-DHD05-1LW/322925920","078477472583","Decora In-Wall Combination Humidity Sensor & Fan Control w/Light Switch, 1/4 HP, Residential Grade, Single Pole, White","Minny","2025-08-14 11:40:43","Will this switch work with a fan and light combo with an LED nightlight such as the Panasonic FV-0511VFL1?","","","","","No","","10668809"
"homedepot","301305065","https://www.homedepot.com/p/Leviton-15-Amp-250-Volt-Armored-Grounding-Plug-Steel-615PA-615PA/301305065","078477842416","15 Amp 250-Volt Armored Grounding Plug, Steel 615PA","Gary","2025-12-04 13:35:33","Is it possible to connect UF wire to this plug? It was not possible for me. The cable is too stiff, the conductors are too flimsy (stranded, and will not obey attempts to wrap around a screw). The cable is 12 gauge. Perhaps this is the problem.","","","","","No","","10900385"
